PC1,PC2,PC3
545.0861179092248,-0.0005936891027920863,1.567640286457268e-05
-0.21923239000033937,-0.0006495187933847523,0.0006161672330583461
-0.21909227006184426,-0.0007139599748623117,0.0005015454528482849
-0.2192196779083432,-0.0007458451616153867,0.0005774300728132724
-0.21928376419512596,-0.0010449006855167212,0.0005935115449526466
-0.21954115586995437,-0.0011762582950856223,0.0009618351185792851
-0.21947602339996825,-0.0011900180802375984,0.0008778784040461207
-0.2193206435376485,-0.0009055380696526235,0.0009423040944895877
-0.2191250061041054,-0.000950906163697686,0.000680855673458339
-0.21931250374643885,-0.0011578079569779325,0.0007337904359528046
-0.2192502603855051,-0.0010723030547838538,0.0007811511363696109
-0.21922564690077392,-0.0012143462945627148,0.0007052354464489027
-0.2192644399815877,-0.001098231173212218,0.0008341289008508146
-0.21941136869172467,-0.0011368375025248298,0.0009152041056411328
-0.21964110187128344,-0.0011963612425120963,0.0012267105460921869
-0.2200640649543253,-0.0012646020302977297,0.0016568491595058748
-0.22010178676056844,-0.0014550945322240022,0.001620376053233045
-0.2202900428451793,-0.001596452358398103,0.0018695470531387432
-0.22043445410202714,-0.0014792723064811005,0.0020462820980827745
-0.22038776555439818,-0.0014693873659299209,0.002013167934146488
-0.2202978204573952,-0.0012763722905613794,0.001922555519712947
-0.22025836399231932,-0.00143920511599844,0.002088276316938044
-0.2198955516542562,-0.00024668090033472316,0.0024555764792314567
-0.219702393055911,-0.0007924025909823068,0.0018764797685137896
-0.21968859211818664,-0.0008342838796906491,0.0019174457743054525
-0.2198485180081247,-0.0009208262396782851,0.002046407605943394
-0.21976385629587142,-0.0007539651967626211,0.001979225241285476
-0.21959601411416393,-0.0007868683628450119,0.0016702089506323559
-0.21977059060771886,-0.0006773457453230546,0.001847518192021076
-0.21995844404527773,-0.0008457148261704265,0.0018594361365591415
-0.2201666560091147,-0.0009222844282386292,0.001974448697706011
-0.21995727949778235,-0.0006779419223404392,0.0019873541926140547
-0.22011050281421193,-0.0006100605627764048,0.002049004982392197
-0.2200419610283357,-0.00035435513192416646,0.0021148948097686198
-0.21998081385061735,-4.149792731750083e-05,0.002173056713105338
-0.21996504739589853,-6.0685585764780654e-05,0.002138283811821322
-0.22019301754767973,-0.00010295899634338403,0.0022014443921366984
-0.22015548671745017,-0.00021070662268177624,0.0020512478295628203
-0.2202415786064996,-0.00014523917636526551,0.0021667464832836173
-0.2201499325689207,-0.00017337995502754585,0.002052706165678217
-0.22034758684700764,-0.00022802025077118133,0.0020701952126421165
-0.22048199043715697,-0.0001296839806108796,0.0021374233757676673
-0.2206294954537218,7.491557795510539e-05,0.0022826424887298666
-0.22055129435809764,0.0001171329222066554,0.0021802447950968547
-0.220499840782678,-1.0130864736855916e-05,0.0021034113005033283
-0.22036390606741016,1.4320627230487708e-05,0.002150483088535708
-0.2204619539713068,5.818251502356757e-05,0.002243397472970133
-0.22071502666650852,-6.276237610500789e-05,0.002441709325654208
-0.2208283408053646,4.012457078166931e-05,0.002606091526149082
-0.2207181603946015,0.000142106956263209,0.0026006448532599085
-0.2208321593800213,5.590688955520685e-05,0.0026040760060396404
-0.22081884993652315,0.0002026768033015054,0.0026351447454573194
-0.22077493885293017,0.0003954117414182766,0.002731473530833996
-0.22075544330993735,0.0004012773860096482,0.002727195693154288
-0.22068492327471556,0.00043001634467799683,0.0026744553665561384
-0.22067138335525902,0.0004761148057591874,0.0026533350622985723
-0.22057369313645,0.0004133631576992306,0.002517964761483342
