customer_id,wellness_score,Financial Literacy Score,Aptitude for change Score,age_at_disbursement,debt_to_income_ratio,Actual_activities_count,Predicted_activities_count,Residual,True_Engagement_Level,Predicted_Engagement_Level,True_Repayment_Risk,Predicted_Repayment_Risk,Predicted_Repayment_Probability,Engagement_Score,Repayment_Risk_Score,CIS,CIS_Segment
16138,53.0,2.0,4.0,31.0,0.3622646666666667,9,8.7036131807986,0.2963868192014001,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.03091855089218546,2,1,1.4500000000000002,Segment B
16138,55.0,2.0,4.0,31.0,0.3622646666666667,1,8.644737788717643,-7.644737788717643,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.03091855089218546,2,1,1.4500000000000002,Segment B
16138,48.93653333333334,2.0,4.0,31.0,0.3622646666666667,7,8.823232277402552,-1.8232322774025516,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.03091855089218546,2,1,1.4500000000000002,Segment B
11036,50.0,4.0,2.33,60.0,0.17733135498320268,19,9.973391993404467,9.026608006595533,High Engagement,Medium Engagement,Low Risk,Low Risk,0.10026344323437217,2,1,1.4500000000000002,Segment B
11036,55.0,4.0,2.33,60.0,0.17733135498320268,22,9.826203513202072,12.173796486797928,High Engagement,Medium Engagement,Low Risk,Low Risk,0.10026344323437217,2,1,1.4500000000000002,Segment B
11036,50.0,4.0,2.33,60.0,0.17733135498320268,19,9.973391993404467,9.026608006595533,High Engagement,Medium Engagement,Low Risk,Low Risk,0.10026344323437217,2,1,1.4500000000000002,Segment B
11036,50.0,4.0,2.33,60.0,0.17733135498320268,12,9.973391993404467,2.0266080065955325,High Engagement,Medium Engagement,Low Risk,Low Risk,0.10026344323437217,2,1,1.4500000000000002,Segment B
11036,53.0,4.0,2.33,60.0,0.17733135498320268,15,9.88507890528303,5.114921094716969,High Engagement,Medium Engagement,Low Risk,Low Risk,0.10026344323437217,2,1,1.4500000000000002,Segment B
1477,57.0,0.0,4.0,57.0,0.45687104722792604,11,11.715516489001885,-0.7155164890018852,High Engagement,High Engagement,High Risk,Low Risk,0.2253564302679811,3,1,1.9000000000000001,Segment B
1477,50.0,0.0,4.0,57.0,0.45687104722792604,1,11.921580361285237,-10.921580361285237,Low Engagement,High Engagement,High Risk,Low Risk,0.2253564302679811,3,1,1.9000000000000001,Segment B
1477,60.0,0.0,4.0,57.0,0.45687104722792604,22,11.627203400880447,10.372796599119553,High Engagement,High Engagement,High Risk,Low Risk,0.2253564302679811,3,1,1.9000000000000001,Segment B
1477,57.0,0.0,4.0,57.0,0.45687104722792604,13,11.715516489001885,1.2844835109981148,High Engagement,High Engagement,High Risk,Low Risk,0.2253564302679811,3,1,1.9000000000000001,Segment B
1477,53.0,0.0,4.0,57.0,0.45687104722792604,11,11.8332672731638,-0.8332672731638002,High Engagement,High Engagement,High Risk,Low Risk,0.2253564302679811,3,1,1.9000000000000001,Segment B
1477,48.93653333333334,0.0,4.0,57.0,0.45687104722792604,22,11.952886369767752,10.047113630232248,High Engagement,High Engagement,High Risk,Low Risk,0.2253564302679811,3,1,1.9000000000000001,Segment B
13710,60.0,3.0,3.67,40.0,0.08769843749999999,8,8.213208978958832,-0.21320897895883206,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.015635022499736344,2,1,1.4500000000000002,Segment B
13710,60.0,3.0,3.67,40.0,0.08769843749999999,11,8.213208978958832,2.786791021041168,High Engagement,Medium Engagement,Low Risk,Low Risk,0.015635022499736344,2,1,1.4500000000000002,Segment B
13710,57.0,3.0,3.67,40.0,0.08769843749999999,12,8.301522067080269,3.6984779329197313,High Engagement,Medium Engagement,Low Risk,Low Risk,0.015635022499736344,2,1,1.4500000000000002,Segment B
1954,50.0,3.0,3.17,38.0,0.10222615384615384,8,8.584666292224965,-0.5846662922249646,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.022279499192721004,2,1,1.4500000000000002,Segment B
1954,46.0,3.0,3.17,38.0,0.10222615384615384,9,8.702417076386881,0.29758292361311867,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.022279499192721004,2,1,1.4500000000000002,Segment B
1954,50.0,3.0,3.17,38.0,0.10222615384615384,12,8.584666292224965,3.4153337077750354,High Engagement,Medium Engagement,Low Risk,Low Risk,0.022279499192721004,2,1,1.4500000000000002,Segment B
1954,48.0,3.0,3.17,38.0,0.10222615384615384,8,8.643541684305923,-0.643541684305923,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.022279499192721004,2,1,1.4500000000000002,Segment B
1461,48.93653333333334,0.0,4.67,62.0,0.030821538461538463,11,11.342409310097842,-0.3424093100978425,High Engagement,High Engagement,Low Risk,Low Risk,0.030181642370182282,3,1,1.9000000000000001,Segment B
1461,48.93653333333334,0.0,4.67,62.0,0.030821538461538463,10,11.342409310097842,-1.3424093100978425,Medium Engagement,High Engagement,Low Risk,Low Risk,0.030181642370182282,3,1,1.9000000000000001,Segment B
1461,61.0,0.0,4.67,62.0,0.030821538461538463,12,10.987288645170059,1.012711354829941,High Engagement,High Engagement,Low Risk,Low Risk,0.030181642370182282,3,1,1.9000000000000001,Segment B
1461,48.0,0.0,4.67,62.0,0.030821538461538463,11,11.369978693696286,-0.3699786936962859,High Engagement,High Engagement,Low Risk,Low Risk,0.030181642370182282,3,1,1.9000000000000001,Segment B
1461,58.0,0.0,4.67,62.0,0.030821538461538463,9,11.075601733291496,-2.0756017332914958,Medium Engagement,High Engagement,Low Risk,Low Risk,0.030181642370182282,3,1,1.9000000000000001,Segment B
