Feature,Importance
fico_score,0.11481481481481479
Gender_FEMALE,0.05873015873015868
Gender_MALE,0.05873015873015868
Province_ON,0.029100529100529064
Province_AB,0.01534391534391531
Province_BC,0.013227513227513206
Province_MB,0.004761904761904745
Province_PEI,0.0042328042328042175
Province_NS,0.0037037037037036904
Province_NFLD,0.0021164021164021087
Province_SK,0.0021164021164021087
Province_NB,0.0
Residential Status_RENTING,0.0
Residential Status_HOME OWNER,-0.006349206349206374
Residential Status_LIVE WITH FAMILY,-0.006349206349206379
Residential Status_RENTER,-0.011111111111111138
